2,chrstgenpct,
20,chrstgenpct,
31,chrstgenpct,
40,chrstgenpct,
41,chrstgenpct,
42,chrstgenpct,
51,chrstgenpct,
52,chrstgenpct,
53,chrstgenpct,
54,chrstgenpct,
55,chrstgenpct,
56,chrstgenpct,
57,chrstgenpct,
58,chrstgenpct,
60,chrstgenpct,
70,chrstgenpct,
80,chrstgenpct,
90,chrstgenpct,
91,chrstgenpct,
92,chrstgenpct,
93,chrstgenpct,
94,chrstgenpct,
95,chrstgenpct,
100,chrstgenpct,
101,chrstgenpct,
110,chrstgenpct,
115,chrstgenpct,
130,chrstgenpct,
135,chrstgenpct,
140,chrstgenpct,
145,chrstgenpct,
150,chrstgenpct,
155,chrstgenpct,
160,chrstgenpct,
165,chrstgenpct,
200,chrstgenpct,
205,chrstgenpct,
210,chrstgenpct,
211,chrstgenpct,
212,chrstgenpct,
220,chrstgenpct,
221,chrstgenpct,
223,chrstgenpct,
225,chrstgenpct,
230,chrstgenpct,
232,chrstgenpct,
235,chrstgenpct,
255,chrstgenpct,
290,chrstgenpct,
305,chrstgenpct,
310,chrstgenpct,
316,nonreligpct,
317,chrstgenpct,
325,chrstgenpct,
331,chrstgenpct,
338,chrstgenpct,
339,islmgenpct,
341,chrstgenpct,
343,chrstgenpct,
344,chrstgenpct,
345,chrstgenpct,
346,chrstgenpct,
347,islmgenpct,
349,chrstgenpct,
350,chrstgenpct,
352,chrstgenpct,
355,chrstgenpct,
359,chrstgenpct,
360,chrstgenpct,
365,chrstgenpct,
366,nonreligpct,
367,chrstgenpct,
368,chrstgenpct,
369,chrstgenpct,
370,chrstgenpct,
371,chrstgenpct,
372,chrstgenpct,
373,islmgenpct,
375,chrstgenpct,
380,chrstgenpct,
385,chrstgenpct,
390,chrstgenpct,
395,chrstgenpct,
402,chrstgenpct,
403,chrstgenpct,
404,anmgenpct,
411,chrstgenpct,
420,islmgenpct,
432,islmgenpct,
433,islmgenpct,
434,chrstgenpct,
435,islmgenpct,
436,islmgenpct,
437,chrstgenpct,
438,islmgenpct,
439,islmgenpct,
450,chrstgenpct,
451,islmgenpct,
452,chrstgenpct,
461,chrstgenpct,
471,chrstgenpct,
475,islmgenpct,
481,chrstgenpct,
482,chrstgenpct,
483,islmgenpct,
484,chrstgenpct,
490,chrstgenpct,
500,chrstgenpct,
501,chrstgenpct,
510,chrstgenpct,
516,chrstgenpct,
517,chrstgenpct,
520,islmgenpct,
522,islmgenpct,
530,chrstgenpct,
531,chrstgenpct,
540,chrstgenpct,
541,chrstgenpct,
551,chrstgenpct,
552,chrstgenpct,
553,chrstgenpct,
560,chrstgenpct,
565,chrstgenpct,
570,chrstgenpct,
571,chrstgenpct,
572,chrstgenpct,
580,chrstgenpct,
581,islmgenpct,
590,hindgenpct,
591,chrstgenpct,
600,islmgenpct,
615,islmgenpct,
616,islmgenpct,
620,islmgenpct,
625,islmgenpct,
630,islmgenpct,
640,islmgenpct,
645,islmgenpct,
651,islmgenpct,
652,islmgenpct,
660,islmgenpct,
663,islmgenpct,
666,judgenpct,
670,islmgenpct,
679,islmgenpct,
690,islmgenpct,
692,islmgenpct,
694,islmgenpct,
696,islmgenpct,
698,islmgenpct,
700,islmgenpct,
701,islmgenpct,
702,islmgenpct,
703,islmgenpct,
704,islmgenpct,
705,islmgenpct,
710,syncgenpct,
712,budgenpct,
713,syncgenpct,
731,nonreligpct,
732,nonreligpct,
740,shntgenpct,
750,hindgenpct,
760,budgenpct,
770,islmgenpct,
771,islmgenpct,
775,budgenpct,
780,budgenpct,
781,islmgenpct,
790,hindgenpct,
800,budgenpct,
811,budgenpct,
812,budgenpct,
816,budgenpct,
820,islmgenpct,
830,budgenpct,
835,islmgenpct,
840,chrstgenpct,
850,islmgenpct,
860,chrstgenpct,
900,chrstgenpct,
910,chrstgenpct,
920,chrstgenpct,
935,chrstgenpct,
940,chrstgenpct,
946,chrstgenpct,
947,chrstgenpct,
950,chrstgenpct,
955,chrstgenpct,
970,chrstgenpct,
983,chrstgenpct,
986,chrstgenpct,
987,chrstgenpct,
990,chrstgenpct,
